transcript_raw,transcript_user,tags_model,tags_user,emotion_score_score,created_at,updated_at,embedding
"Kept scrolling through my phone again, knowing itâ€™s not helping.","I spent too much time online again, kind of stuck in a loop.",,,-0.22,5/15/2025 8:00,5/15/2025 8:05,
"Kept scrolling through my phone again, knowing itâ€™s not helping.","I spent too much time online again, kind of stuck in a loop.",,,-0.22,6/1/2025 16:00,6/1/2025 16:05,
"Kept scrolling through my phone again, knowing itâ€™s not helping.","I spent too much time online again, kind of stuck in a loop.",,,-0.22,5/14/2025 16:00,5/14/2025 16:05,
Laughed so hard at dinner with friends tonight. I really needed that.,Dinner with friends made me feel so much lighter. Laughed a lot.,,,0.47,5/27/2025 12:00,5/27/2025 12:05,
Laughed so hard at dinner with friends tonight. I really needed that.,Dinner with friends made me feel so much lighter. Laughed a lot.,,,0.47,5/8/2025 4:00,5/8/2025 4:05,
Talked to my mom about life plans. It felt grounding.,Had a calm conversation with my mom about my future.,,,0.35,5/21/2025 4:00,5/21/2025 4:05,
"Kept scrolling through my phone again, knowing itâ€™s not helping.","I spent too much time online again, kind of stuck in a loop.",,,-0.22,5/24/2025 0:00,5/24/2025 0:05,
"Kept scrolling through my phone again, knowing itâ€™s not helping.","I spent too much time online again, kind of stuck in a loop.",,,-0.22,5/8/2025 16:00,5/8/2025 16:05,
"Kept scrolling through my phone again, knowing itâ€™s not helping.","I spent too much time online again, kind of stuck in a loop.",,,-0.22,5/26/2025 0:00,5/26/2025 0:05,
"Kept scrolling through my phone again, knowing itâ€™s not helping.","I spent too much time online again, kind of stuck in a loop.",,,-0.22,5/22/2025 16:00,5/22/2025 16:05,
I had a long walk after work and reflected on how I react to feedback.,"I walked a lot after work, just thinking about my reaction to criticism.",,,0.18,5/15/2025 0:00,5/15/2025 0:05,
Laughed so hard at dinner with friends tonight. I really needed that.,Dinner with friends made me feel so much lighter. Laughed a lot.,,,0.47,5/12/2025 4:00,5/12/2025 4:05,
Talked to my mom about life plans. It felt grounding.,Had a calm conversation with my mom about my future.,,,0.35,5/18/2025 12:00,5/18/2025 12:05,
Laughed so hard at dinner with friends tonight. I really needed that.,Dinner with friends made me feel so much lighter. Laughed a lot.,,,0.47,5/16/2025 20:00,5/16/2025 20:05,
